OrderFeedbackDate_Key,Customer_Key,OrderFeedbackScore,OrderFeedBackText
20191002,697633,9,Du finder hvad du søger
20190506,1219633,10,"Jeres hjemmeside er lidt irriterende på en almindelig bærbars skærm. Lidt meget clutter. 
Ellers er alt godt som altid"
20190508,1561420,10,"Stort og bredt sortiment. Hurtig ekspedition, og altid smilende god service. Effektiv boghandel."
20190917,14822406,7,"Det er ærgerligt at man ikke kan bestille, flere bøger på en gang hvis man bestiller en brugt bog.
Men ellers nemt, med et godt udvalg 
"
20191017,12228410,0,ok
20190220,12288388,10,det virker hurtigt og perfekt
20190307,14553612,10,Ryddig og effektiv behandling av bestillinger. Sikker levering ! Takk til SAXO . H. Per
20190321,140176,9,"Jeg er ikke IT mand. For mig tog det lidt lang tid at komme gennem jeres skærmbilleder, som kunne være lidt mere pædagogiske. Forslag:
Lad Maren i kæret prøve om hun synes, det er let. Gør hun det, så er det blot mig, der er noget i vejen med."
20190330,1750440,10,Altid nemt og bekvemt at handle hos Saxo.
20190430,14654530,6,"Websiden virker ikke godt på mobil, da teknikken opfører sig drilsk. Saxos hjemmeside føles meget tung og avanceret. Og af en eller grund kan man ikke søge Christopher Hart, der er det nødvendigt at skrive Hart, crime noir eller Hart, manga"
20190513,1176928,4,Savner i modtage paypal som andre.
20190503,341837,5,Jeg har forladt jeres rabatordning pga. pris og at jeg ikke bruger læsning af netbøger- isstedet brger vi Gucca i Herning
20190506,1724629,10,"jeg er altid tilfreds med køb hos jer
"
20190103,11952269,2,"Nej, jeg anbefaler aldrig butikker til venner"
20190130,915969,10,overskuelig hjemmeside og hurtig levering. Super at det er en mulighed at hente bøger i boghandel på Østerbro
20190208,12125551,10,Det er nemt at handle hos Saxo og det fungerer godt med leveringer osv. Mvh Helle
20190213,562879,10,Dejligt at jeg kan spare fragt. Fin betjening i boghandleren på Østerbrogade :)
